periodCode;reportGranularity;salesChannel;platformCode;channelCode;tagCodes;marketingInvestment;impressions;clicks;visits;conversions;deliveries;currencyCode;appliedAttributionModel;periodStartDate
20200102;Daily;online;Not tracked;notset;;0;0;0;0;16;14;CZK;lastTouch;2020-01-02T00:00:00.0000000
20200103;Daily;online;Not tracked;notset;;0;0;0;0;13;13;CZK;lastTouch;2020-01-03T00:00:00.0000000
20200104;Daily;online;Not tracked;notset;;0;0;0;0;6;6;CZK;lastTouch;2020-01-04T00:00:00.0000000
20200105;Daily;online;Not tracked;notset;;0;0;0;0;1;1;CZK;lastTouch;2020-01-05T00:00:00.0000000
20200105;Daily;online;Not tracked;notset;;0;0;0;0;9;9;CZK;lastTouch;2020-01-05T00:00:00.0000000
20200106;Daily;online;Not tracked;notset;;0;0;0;0;5;4;CZK;lastTouch;2020-01-06T00:00:00.0000000
20200106;Daily;online;Not tracked;notset;;0;0;0;0;12;12;CZK;lastTouch;2020-01-06T00:00:00.0000000
20200107;Daily;online;Not tracked;notset;;0;0;0;0;5;4;CZK;lastTouch;2020-01-07T00:00:00.0000000
20200107;Daily;online;Not tracked;notset;;0;0;0;0;18;18;CZK;lastTouch;2020-01-07T00:00:00.0000000
20200108;Daily;online;Not tracked;notset;;0;0;0;0;2;2;CZK;lastTouch;2020-01-08T00:00:00.0000000
20200108;Daily;online;Not tracked;notset;;0;0;0;0;23;23;CZK;lastTouch;2020-01-08T00:00:00.0000000
20200109;Daily;online;Not tracked;notset;;0;0;0;0;2;1;CZK;lastTouch;2020-01-09T00:00:00.0000000
20200109;Daily;online;Not tracked;notset;;0;0;0;0;13;12;CZK;lastTouch;2020-01-09T00:00:00.0000000
20200110;Daily;online;Not tracked;notset;;0;0;0;0;1;1;CZK;lastTouch;2020-01-10T00:00:00.0000000
20200110;Daily;online;Not tracked;notset;;0;0;0;0;17;16;CZK;lastTouch;2020-01-10T00:00:00.0000000
20200111;Daily;online;Not tracked;notset;;0;0;0;0;3;3;CZK;lastTouch;2020-01-11T00:00:00.0000000
20200112;Daily;online;Not tracked;notset;;0;0;0;0;6;5;CZK;lastTouch;2020-01-12T00:00:00.0000000
20200113;Daily;online;Not tracked;notset;;0;0;0;0;3;3;CZK;lastTouch;2020-01-13T00:00:00.0000000
20200113;Daily;online;Not tracked;notset;;0;0;0;0;21;21;CZK;lastTouch;2020-01-13T00:00:00.0000000
20200114;Daily;online;Not tracked;notset;;0;0;0;0;2;1;CZK;lastTouch;2020-01-14T00:00:00.0000000
20200114;Daily;online;Not tracked;notset;;0;0;0;0;16;15;CZK;lastTouch;2020-01-14T00:00:00.0000000
20200115;Daily;online;Not tracked;notset;;0;0;0;0;16;15;CZK;lastTouch;2020-01-15T00:00:00.0000000
20200116;Daily;online;Not tracked;notset;;0;0;0;0;5;5;CZK;lastTouch;2020-01-16T00:00:00.0000000
20200116;Daily;online;Not tracked;notset;;0;0;0;0;8;8;CZK;lastTouch;2020-01-16T00:00:00.0000000
20200117;Daily;online;Not tracked;notset;;0;0;0;0;2;2;CZK;lastTouch;2020-01-17T00:00:00.0000000
20200117;Daily;online;Not tracked;notset;;0;0;0;0;11;10;CZK;lastTouch;2020-01-17T00:00:00.0000000
20200118;Daily;online;Not tracked;notset;;0;0;0;0;5;5;CZK;lastTouch;2020-01-18T00:00:00.0000000
20200119;Daily;online;Not tracked;notset;;0;0;0;0;12;11;CZK;lastTouch;2020-01-19T00:00:00.0000000
20200120;Daily;online;Not tracked;notset;;0;0;0;0;6;5;CZK;lastTouch;2020-01-20T00:00:00.0000000
