orderId;createdAt;platformId;platformCode;channelId;channelCode;tagCodes;adCode;adGroup;adName;adContent;adSearchQuery;adProductCode;deviceCategory;total;tax;delivery;revenue;profit;quantity;currencyCode
194206;2020-01-02T00:00:00;308_notset;notset;308_direct;direct;;;;;;;;mobile;1465;308;141;1335;;4;CZK
194243;2020-01-02T00:00:00;308_notset;notset;308_direct;direct;;;;;;;;desktop;1444;303;116;1338;;5;CZK
194247;2020-01-02T00:00:00;308_notset;notset;308_direct;direct;;;;;;;;desktop;3086;648;116;2934;;2;CZK
194255;2020-01-02T00:00:00;308_notset;notset;308_direct;direct;;;;;;;;mobile;408;86;116;256;;2;CZK
194287;2020-01-02T00:00:00;308_notset;notset;308_direct;direct;;;;;;;;desktop;13108;2753;116;14072;;14;CZK
194310;2020-01-02T00:00:00;308_notset;notset;308_direct;direct;;;;;;;;desktop;1176;247;141;1000;;3;CZK
194329;2020-01-02T00:00:00;308_notset;notset;308_direct;direct;;;;;;;;desktop;4505;946;116;4353;;25;CZK
194369;2020-01-02T00:00:00;308_notset;notset;308_referral;referral;;;;;;;;desktop;968;203;116;816;;1;CZK
194280;2020-01-02T00:00:00;308_notset;notset;308_organic;organic;;;;;;;;desktop;5002;1050;140;4873;;3;CZK
194340;2020-01-02T00:00:00;308_notset;notset;308_organic;organic;;;;;;;;desktop;2540;533;141;2399;;1;CZK
194368;2020-01-02T00:00:00;308_notset;notset;308_notset;notset;;;;;;;;desktop;575;121;141;434;;1;CZK
194249;2020-01-02T00:00:00;308_notset;notset;308_notset;notset;;;;;;;;desktop;3205;673;116;3054;;1;CZK
194286;2020-01-02T00:00:00;308_notset;notset;308_facebook;facebook;;;;;;;;mobile;1234;259;116;1082;;1;CZK
194211;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_bra;adwords_bra;;;;;;;;desktop;962;202;116;823;;3;CZK
194344;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_bra;adwords_bra;;;;;;;;mobile;1927;405;116;1788;;2;CZK
194331;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_bra;adwords_bra;;;;;;;;mobile;2202;462;141;2107;;5;CZK
194317;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_bra;adwords_bra;;;;;;;;desktop;1014;213;116;863;;1;CZK
194321;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;6094;1280;141;5918;;4;CZK
194323;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;919;193;116;803;;7;CZK
194343;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;645;135;141;469;;1;CZK
194335;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;mobile;585;123;116;433;;2;CZK
194336;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;mobile;3565;749;141;3389;;1;CZK
194337;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;2703;568;116;2604;;2;CZK
194367;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;mobile;644;135;116;492;;1;CZK
194350;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;8192;1720;541;8320;;4;CZK
194354;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;686;144;116;535;;1;CZK
194372;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;663;139;116;511;;1;CZK
194219;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;1235;259;141;1059;;75;CZK
194250;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;tablet;338;71;116;187;;1;CZK
194230;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;4228;888;0;4228;;2;CZK
194203;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;836;176;116;697;;4;CZK
194304;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;mobile;2760;580;116;2654;;2;CZK
194284;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;3214;675;141;3267;;3;CZK
194315;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;3029;636;116;2913;;3;CZK
194316;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;585;123;116;434;;1;CZK
194281;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;7279;1529;116;7128;;2;CZK
194289;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;mobile;1972;414;116;1866;;2;CZK
194294;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;mobile;2941;618;116;2835;;6;CZK
194254;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;3866;812;116;3749;;2;CZK
194258;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;935;196;116;784;;3;CZK
194262;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;4802;1008;140;4627;;2;CZK
194263;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;mobile;362;76;116;246;;1;CZK
194268;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;desktop;375;79;116;223;;2;CZK
194270;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_pla;adwords_pla;;;;;;;;mobile;385;81;116;234;;1;CZK
194252;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_rem;adwords_rem;;;;;;;;desktop;1928;405;116;1776;;6;CZK
194342;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_rem;adwords_rem;;;;;;;;desktop;323;68;141;182;;1;CZK
194327;2020-01-02T00:00:00;308_adwords;AdWords;308_adwords_rem;adwords_rem;;;;;;;;desktop;874;184;116;723;;1;CZK
194334;2020-01-02T00:00:00;308_notset;notset;308_organic;organic;;;;;;;;desktop;2664;559;116;2512;;8;CZK
194213;2020-01-02T00:00:00;308_notset;notset;308_organic;organic;;;;;;;;mobile;4700;987;259;4452;;4;CZK
194275;2020-01-02T00:00:00;308_notset;notset;308_organic;organic;;;;;;;;desktop;1063;223;141;887;;1;CZK
194228;2020-01-02T00:00:00;308_heurekacz;HeurekaCz;308_heureka;heureka;;;;;;;;desktop;2148;451;116;1996;;1;CZK
194278;2020-01-02T00:00:00;308_heurekacz;HeurekaCz;308_heureka;heureka;;;;;;;;desktop;1055;222;116;916;;2;CZK
194371;2020-01-02T00:00:00;308_heurekacz;HeurekaCz;308_heureka;heureka;;;;;;;;desktop;13053;2741;799;12219;;1;CZK
194223;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;1927;405;116;1775;;1;CZK
194277;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;mobile;1997;419;200;1762;;1;CZK
194373;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;1167;245;141;1026;;1;CZK
194273;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;mobile;3362;706;200;3356;;6;CZK
194210;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;3600;756;116;3449;;5;CZK
194224;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;7412;1557;116;8000;;7;CZK
194220;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;536;113;116;420;;1;CZK
194233;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;1174;247;116;1022;;2;CZK
194240;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;1032;217;116;915;;1;CZK
194242;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;831;174;116;679;;1;CZK
194274;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;1167;245;116;1027;;2;CZK
194272;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;579;122;116;463;;1;CZK
194276;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;4804;1009;116;4652;;1;CZK
194257;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;770;162;0;770;;1;CZK
194261;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;301;63;116;184;;1;CZK
194279;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;556;117;116;440;;2;CZK
194282;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;6034;1267;116;6586;;5;CZK
194296;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;3795;797;116;3678;;13;CZK
194300;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;5695;1196;200;5548;;7;CZK
194374;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;2187;459;116;2089;;4;CZK
194375;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;916;192;0;916;;2;CZK
194319;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;458;96;141;282;;1;CZK
194349;2020-01-02T00:00:00;308_silverpop;Silverpop;308_emailing;emailing;;;;;;;;desktop;4681;983;116;4574;;7;CZK
194364;2020-01-02T00:00:00;308_rtbhouse;RtbHouse;308_rtbhouse;rtbhouse;;;;;;;;mobile;1234;259;116;1082;;1;CZK
194361;2020-01-02T00:00:00;308_sklik;Sklik;308_sklik_bra;sklik_bra;;;;;;;;desktop;584;123;116;432;;3;CZK
194318;2020-01-02T00:00:00;308_sklik;Sklik;308_sklik_bra;sklik_bra;;;;;;;;desktop;1512;318;116;1414;;35;CZK
194324;2020-01-02T00:00:00;308_sklik;Sklik;308_sklik_bra;sklik_bra;;;;;;;;desktop;8265;1736;141;8675;;5;CZK
194266;2020-01-02T00:00:00;308_sklik;Sklik;308_sklik_bra;sklik_bra;;;;;;;;desktop;714;150;116;598;;2;CZK
194285;2020-01-02T00:00:00;308_sklik;Sklik;308_sklik_sea;sklik_sea;;;;;;;;desktop;2348;493;116;2196;;3;CZK
194358;2020-01-02T00:00:00;308_sklik;Sklik;308_sklik_sea;sklik_sea;;;;;;;;mobile;3758;789;116;3871;;3;CZK
194314;2020-01-02T00:00:00;308_notset;notset;308_organic;organic;;;;;;;;desktop;4948;1039;116;4797;;10;CZK
194264;2020-01-02T00:00:00;308_notset;notset;308_organic;organic;;;;;;;;desktop;8102;1701;116;8654;;5;CZK
194311;2020-01-02T00:00:00;308_zbozicz;ZboziCz;308_zbozi;zbozi;;;;;;;;desktop;996;209;116;845;;1;CZK
