,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries,revenue_after_dis
0,AdWords,adwords_bra,11016.44,32943,17830,20854,680,642,2634271
1,AdWords,adwords_dsa,655.35,2588,98,104,3,3,8953
2,AdWords,adwords_pla,762545.8,14586376,183696,189367,2078,2034,3760160
3,AdWords,adwords_rem,49948.62,1467433,16241,17719,114,112,265874
4,AdWords,adwords_sea,776.33,6647,339,491,12,12,17887
5,FirmyCz,zbozi,161.08,1337,8,5,2,2,4687
6,HeurekaCz,heureka,8576.26,0,2125,3173,101,99,251959
7,RtbHouse,rtbhouse,132249.4,2772507,64815,46327,379,347,1368670
8,Silverpop,emailing,107096.62999999999,0,0,107919,1719,1654,5039033
9,Sklik,sklik_bra,5680.89,13418,9007,10286,389,368,1285501
10,Sklik,sklik_pla,10428.7,138866,2528,2586,69,69,90143
11,Sklik,sklik_rem,18867.9,824786,5959,6766,76,74,212104
12,Sklik,sklik_sea,4419.52,19097,1813,1848,37,36,67255
13,ZboziCz,zbozi,28621.96,181456,6400,4774,95,85,284015
