,createdAt,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries,revenue
0,2020-01-02,AdWords,adwords_bra,167.09,408.0,266.0,306.0,4.0,4.0,5581.0
1,2020-01-02,AdWords,adwords_dsa,31.06,370.0,12.0,11.0,0.0,0.0,
2,2020-01-02,AdWords,adwords_pla,10868.92,191564.0,2609.0,2667.0,27.0,27.0,60605.0
3,2020-01-02,AdWords,adwords_rem,762.06,24668.0,386.0,429.0,3.0,3.0,2681.0
4,2020-01-02,AdWords,adwords_sea,41.59,531.0,26.0,36.0,0.0,0.0,
5,2020-01-02,FirmyCz,zbozi,80.54,600.0,4.0,2.0,0.0,0.0,
6,2020-01-02,HeurekaCz,heureka,262.39,0.0,52.0,69.0,3.0,3.0,15131.0
7,2020-01-02,Not tracked,notset,0.0,0.0,0.0,0.0,16.0,14.0,
8,2020-01-02,RtbHouse,rtbhouse,92.4,0.0,0.0,63.0,1.0,1.0,1082.0
9,2020-01-02,Silverpop,emailing,1290.32,0.0,0.0,1824.0,23.0,23.0,53613.0
10,2020-01-02,Sklik,sklik_bra,97.0,223.0,150.0,161.0,4.0,3.0,11119.0
11,2020-01-02,Sklik,sklik_pla,270.9,3113.0,61.0,56.0,0.0,0.0,
12,2020-01-02,Sklik,sklik_rem,400.8,14101.0,130.0,144.0,0.0,0.0,
13,2020-01-02,Sklik,sklik_sea,110.88,702.0,52.0,54.0,2.0,2.0,6067.0
14,2020-01-02,ZboziCz,zbozi,738.01,2526.0,102.0,57.0,1.0,1.0,845.0
15,2020-01-02,unpaid,direct,0.0,0.0,0.0,502.0,7.0,6.0,
16,2020-01-02,unpaid,facebook,0.0,0.0,0.0,34.0,1.0,1.0,
17,2020-01-02,unpaid,internal,0.0,0.0,0.0,130.0,0.0,0.0,
18,2020-01-02,unpaid,notset,0.0,0.0,0.0,33.0,2.0,2.0,
19,2020-01-02,unpaid,organic,0.0,0.0,0.0,678.0,7.0,7.0,
20,2020-01-02,unpaid,push,0.0,0.0,0.0,1.0,0.0,0.0,
