,periodCode,platformCode,channelCode,marketingInvestment,impressions,clicks,visits,conversions,deliveries
0,20200102,AdWords,adwords_bra,167.09,408,266,306,4,4
1,20200102,AdWords,adwords_dsa,31.06,370,12,11,0,0
2,20200102,AdWords,adwords_pla,10868.92,191564,2609,2667,27,27
3,20200102,AdWords,adwords_rem,762.06,24668,386,429,3,3
4,20200102,AdWords,adwords_sea,41.59,531,26,36,0,0
5,20200102,FirmyCz,zbozi,80.54,600,4,2,0,0
6,20200102,HeurekaCz,heureka,262.38999999999993,0,52,69,3,3
7,20200102,Not tracked,notset,0.0,0,0,0,16,14
8,20200102,RtbHouse,rtbhouse,92.4,0,0,63,1,1
9,20200102,Silverpop,emailing,1290.32,0,0,1824,23,23
10,20200102,Sklik,sklik_bra,97.0,223,150,161,4,3
11,20200102,Sklik,sklik_pla,270.9,3113,61,56,0,0
12,20200102,Sklik,sklik_rem,400.79999999999995,14101,130,144,0,0
13,20200102,Sklik,sklik_sea,110.88,702,52,54,2,2
14,20200102,ZboziCz,zbozi,738.01,2526,102,57,1,1
15,20200102,unpaid,direct,0.0,0,0,502,7,6
16,20200102,unpaid,facebook,0.0,0,0,34,1,1
17,20200102,unpaid,internal,0.0,0,0,130,0,0
18,20200102,unpaid,notset,0.0,0,0,33,2,2
19,20200102,unpaid,organic,0.0,0,0,678,7,7
20,20200102,unpaid,push,0.0,0,0,1,0,0
21,20200102,unpaid,referral,0.0,0,0,253,1,1
22,20200103,AdWords,adwords_bra,125.52,508,258,305,6,6
23,20200103,AdWords,adwords_dsa,30.05,269,11,13,0,0
24,20200103,AdWords,adwords_pla,10081.41,177758,2525,2610,21,21
25,20200103,AdWords,adwords_rem,416.75,20264,265,299,1,1
26,20200103,AdWords,adwords_sea,44.43000000000001,566,18,25,0,0
27,20200103,FirmyCz,zbozi,80.54,600,3,3,0,0
28,20200103,HeurekaCz,heureka,0.0,0,0,36,0,0
29,20200103,Not tracked,notset,0.0,0,0,0,13,13
30,20200103,RtbHouse,rtbhouse,237.85,73849,1910,1217,3,3
31,20200103,Silverpop,emailing,1290.32,0,0,1987,23,23
32,20200103,Sklik,sklik_bra,86.7,205,141,163,6,6
33,20200103,Sklik,sklik_pla,194.6,2760,45,43,0,0
