,createdAt,platformCode,channelCode,deviceCategory,total,delivery,revenue,quantity
14,2020-01-02,notset,direct,desktop,23319,605,23697,49
15,2020-01-02,notset,direct,mobile,1873,257,1591,6
16,2020-01-02,notset,facebook,mobile,1234,116,1082,1
17,2020-01-02,notset,notset,desktop,3780,257,3488,2
18,2020-01-02,notset,organic,desktop,24319,770,24122,28
19,2020-01-02,notset,organic,mobile,4700,259,4452,4
20,2020-01-02,notset,referral,desktop,968,116,816,1
34,2020-01-03,notset,direct,desktop,19355,548,19670,14
35,2020-01-03,notset,direct,mobile,1154,116,1002,2
36,2020-01-03,notset,internal,desktop,832,116,716,1
37,2020-01-03,notset,organic,desktop,11016,464,10755,21
38,2020-01-03,notset,organic,mobile,3322,232,3119,15
39,2020-01-03,notset,referral,desktop,3637,0,3690,14
56,2020-01-04,notset,direct,desktop,2031,232,1809,11
57,2020-01-04,notset,internal,desktop,1472,116,1367,2
58,2020-01-04,notset,organic,desktop,7296,373,6816,19
59,2020-01-04,notset,organic,mobile,3900,0,3900,1
60,2020-01-04,notset,organic,tablet,703,116,551,1
61,2020-01-04,notset,referral,desktop,992,0,992,1
79,2020-01-05,notset,direct,desktop,9235,232,9244,16
80,2020-01-05,notset,internal,mobile,3803,116,3916,10
81,2020-01-05,notset,organic,desktop,10281,721,9381,11
82,2020-01-05,notset,organic,mobile,2164,232,1942,3
83,2020-01-05,notset,referral,desktop,2505,116,2388,5
84,2020-01-05,notset,referral,mobile,1819,141,1688,6
103,2020-01-06,notset,direct,desktop,30070,1500,29171,38
104,2020-01-06,notset,direct,mobile,2461,256,2222,5
105,2020-01-06,notset,internal,mobile,1356,141,1226,7
106,2020-01-06,notset,notset,desktop,1195,116,1044,1
107,2020-01-06,notset,organic,desktop,28769,1412,28565,38
108,2020-01-06,notset,referral,desktop,8715,348,8623,35
109,2020-01-06,notset,referral,mobile,5037,232,4963,22
124,2020-01-07,notset,direct,desktop,72942,1775,73981,97
125,2020-01-07,notset,direct,mobile,3429,116,3278,1
126,2020-01-07,notset,notset,desktop,939,0,951,2
127,2020-01-07,notset,notset,mobile,645,141,469,1
128,2020-01-07,notset,organic,desktop,52273,804,55416,64
129,2020-01-07,notset,organic,mobile,5891,464,5442,7
130,2020-01-07,notset,organic,tablet,381,116,229,1
131,2020-01-07,notset,referral,desktop,2468,141,2337,7
149,2020-01-08,notset,direct,desktop,50404,1995,49957,37
150,2020-01-08,notset,direct,mobile,4632,397,4165,3
151,2020-01-08,notset,notset,desktop,5816,116,5929,3
152,2020-01-08,notset,organic,desktop,17338,972,17021,15
153,2020-01-08,notset,organic,mobile,1596,116,1444,1
154,2020-01-08,notset,referral,desktop,10722,116,11421,14
155,2020-01-08,notset,referral,mobile,3035,116,2929,3
169,2020-01-09,notset,direct,desktop,46694,2027,45816,35
170,2020-01-09,notset,notset,desktop,921,116,782,2
171,2020-01-09,notset,organic,desktop,28076,1547,26352,55
172,2020-01-09,notset,organic,mobile,443,0,443,2
173,2020-01-09,notset,referral,desktop,3809,373,3374,6
185,2020-01-10,notset,direct,desktop,12751,721,12118,28
186,2020-01-10,notset,direct,mobile,1255,116,1116,2
187,2020-01-10,notset,facebook,desktop,4207,116,4056,5
188,2020-01-10,notset,organic,desktop,22558,837,22476,28
189,2020-01-10,notset,organic,mobile,4253,282,3945,6
190,2020-01-10,notset,referral,desktop,6496,232,6363,25
202,2020-01-11,notset,direct,desktop,12498,373,12202,21
203,2020-01-11,notset,direct,mobile,1840,116,1777,4
204,2020-01-11,notset,organic,mobile,1183,232,880,3
205,2020-01-11,notset,referral,desktop,2616,116,2510,4
220,2020-01-12,notset,direct,desktop,31013,1697,30387,37
221,2020-01-12,notset,direct,mobile,1478,116,1327,1
222,2020-01-12,notset,organic,desktop,16366,1037,15171,29
223,2020-01-12,notset,referral,desktop,9833,257,9917,20
224,2020-01-12,notset,referral,mobile,691,116,575,1
241,2020-01-13,notset,direct,desktop,43676,1635,44244,44
242,2020-01-13,notset,notset,desktop,20324,257,19996,4
243,2020-01-13,notset,organic,desktop,14049,968,13045,87
244,2020-01-13,notset,organic,mobile,3934,232,3895,6
264,2020-01-14,notset,direct,desktop,15687,798,14944,11
265,2020-01-14,notset,direct,mobile,4554,257,4297,10
266,2020-01-14,notset,direct,tablet,1520,0,1520,6
267,2020-01-14,notset,organic,desktop,80184,3275,87110,32
268,2020-01-14,notset,organic,mobile,1195,116,1044,1
269,2020-01-14,notset,referral,desktop,20169,516,20699,15
270,2020-01-14,notset,referral,mobile,2590,116,2438,5
287,2020-01-15,notset,direct,desktop,11766,580,11143,14
288,2020-01-15,notset,direct,mobile,6894,348,6486,6
