createdAt,platformCode,channelCode,quantity,total,delivery,revenue
2020-01-02,AdWords,adwords_bra,11,6105,489,5581
2020-01-02,AdWords,adwords_pla,136,63838,3590,60605
2020-01-02,AdWords,adwords_rem,8,3125,373,2681
2020-01-02,HeurekaCz,heureka,4,16256,1031,15131
2020-01-02,RtbHouse,rtbhouse,1,1234,116,1082
2020-01-02,Silverpop,emailing,73,54981,2738,53613
2020-01-02,Sklik,sklik_bra,45,11075,489,11119
2020-01-02,Sklik,sklik_sea,6,6106,232,6067
2020-01-02,ZboziCz,zbozi,1,996,116,845
2020-01-03,AdWords,adwords_bra,37,35146,580,35045
2020-01-03,AdWords,adwords_pla,48,45728,2561,43503
2020-01-03,AdWords,adwords_rem,4,697,116,546
2020-01-03,RtbHouse,rtbhouse,7,3106,232,2815
2020-01-03,Silverpop,emailing,126,106627,4632,105088
2020-01-03,Sklik,sklik_bra,15,21365,1029,21609
2020-01-03,Sklik,sklik_sea,2,1324,116,1173
2020-01-04,AdWords,adwords_bra,12,6475,548,5925
2020-01-04,AdWords,adwords_pla,26,29574,2395,27698
2020-01-04,AdWords,adwords_rem,2,2537,141,2407
2020-01-04,RtbHouse,rtbhouse,36,26833,978,26502
2020-01-04,Silverpop,emailing,65,89093,4212,88298
2020-01-04,Sklik,sklik_bra,14,5257,489,4752
2020-01-04,Sklik,sklik_pla,6,1873,232,1604
2020-01-04,ZboziCz,zbozi,2,1996,141,1873
2020-01-05,AdWords,adwords_bra,40,29455,812,29600
2020-01-05,AdWords,adwords_pla,43,36130,2716,34205
2020-01-05,AdWords,adwords_rem,1,1055,116,904
2020-01-05,RtbHouse,rtbhouse,19,15985,921,14933
2020-01-05,Silverpop,emailing,76,55436,2821,53834
2020-01-05,Sklik,sklik_bra,17,38021,1545,39356
2020-01-05,Sklik,sklik_pla,10,1558,116,1452
2020-01-05,Sklik,sklik_rem,1,1327,0,1327
2020-01-05,ZboziCz,zbozi,8,2489,373,2022
2020-01-06,AdWords,adwords_bra,156,88322,3305,88664
2020-01-06,AdWords,adwords_pla,67,61158,3543,58056
2020-01-06,AdWords,adwords_rem,1,1552,116,1401
2020-01-06,AdWords,adwords_sea,2,243,116,92
2020-01-06,HeurekaCz,heureka,2,10067,316,9715
2020-01-06,RtbHouse,rtbhouse,14,9831,457,9649
2020-01-06,Silverpop,emailing,79,52616,2228,51416
2020-01-06,Sklik,sklik_bra,21,22716,464,23436
2020-01-06,Sklik,sklik_pla,2,1184,116,1033
2020-01-06,Sklik,sklik_rem,43,5276,141,5329
2020-01-06,Sklik,sklik_sea,6,11355,232,11526
2020-01-06,ZboziCz,zbozi,8,4064,464,3557
2020-01-07,AdWords,adwords_bra,45,50485,1727,50581
2020-01-07,AdWords,adwords_pla,79,38920,2447,36622
2020-01-07,AdWords,adwords_rem,3,1810,116,1747
2020-01-07,HeurekaCz,heureka,16,19146,375,19723
2020-01-07,RtbHouse,rtbhouse,2,4227,257,3898
2020-01-07,Silverpop,emailing,81,51334,2081,50623
2020-01-07,Sklik,sklik_bra,29,12852,1005,11671
2020-01-07,Sklik,sklik_pla,2,882,232,614
2020-01-07,Sklik,sklik_rem,2,3394,259,3153
2020-01-07,Sklik,sklik_sea,3,7128,0,7831
2020-01-08,AdWords,adwords_bra,45,45225,2757,44272
2020-01-08,AdWords,adwords_pla,48,32300,2883,29192
2020-01-08,AdWords,adwords_sea,2,893,141,717
2020-01-08,FirmyCz,zbozi,3,1314,116,1163
2020-01-08,RtbHouse,rtbhouse,36,43053,1906,43334
2020-01-08,Silverpop,emailing,104,115039,5911,112448
2020-01-08,Sklik,sklik_bra,14,19797,580,19958
2020-01-08,Sklik,sklik_rem,4,4613,116,4514
2020-01-08,Sklik,sklik_sea,2,1335,232,1103
2020-01-08,ZboziCz,zbozi,1,909,116,792
2020-01-09,AdWords,adwords_bra,63,51871,2510,50228
2020-01-09,AdWords,adwords_pla,53,106633,4933,104222
2020-01-09,AdWords,adwords_rem,9,11216,541,11198
2020-01-09,HeurekaCz,heureka,2,1483,232,1215
2020-01-09,RtbHouse,rtbhouse,37,26255,1027,25810
2020-01-09,Silverpop,emailing,24,27682,1398,26111
2020-01-09,Sklik,sklik_bra,15,26596,1031,26799
2020-01-09,Sklik,sklik_rem,13,5919,257,5866
2020-01-10,AdWords,adwords_bra,74,71213,1281,73218
2020-01-10,AdWords,adwords_pla,66,55514,3288,52127
2020-01-10,AdWords,adwords_rem,3,1462,0,1508
2020-01-10,HeurekaCz,heureka,1,1765,116,1613
2020-01-10,RtbHouse,rtbhouse,17,13355,605,12713
2020-01-10,Silverpop,emailing,110,59423,3392,57537
2020-01-10,Sklik,sklik_bra,42,19151,896,18086
2020-01-10,Sklik,sklik_rem,5,4244,141,4067
2020-01-11,AdWords,adwords_bra,14,11074,538,10563
2020-01-11,AdWords,adwords_pla,34,29173,2460,26554
2020-01-11,HeurekaCz,heureka,2,1704,140,1582
2020-01-11,RtbHouse,rtbhouse,10,8529,348,8860
2020-01-11,Silverpop,emailing,49,34641,1610,33979
2020-01-11,Sklik,sklik_bra,7,3180,232,2877
2020-01-11,Sklik,sklik_pla,5,3129,116,3024
2020-01-12,AdWords,adwords_bra,22,17547,348,17370
2020-01-12,AdWords,adwords_pla,86,37340,2851,35374
2020-01-12,AdWords,adwords_rem,5,2356,116,2251
2020-01-12,HeurekaCz,heureka,1,2475,116,2324
2020-01-12,RtbHouse,rtbhouse,58,16013,488,16017
2020-01-12,Silverpop,emailing,72,41831,1841,41548
2020-01-12,Sklik,sklik_bra,14,12913,689,12658
2020-01-12,Sklik,sklik_pla,1,405,141,229
2020-01-12,Sklik,sklik_sea,1,577,116,425
2020-01-12,ZboziCz,zbozi,3,2624,116,2525
2020-01-13,AdWords,adwords_bra,93,50413,2950,49053
2020-01-13,AdWords,adwords_pla,53,51438,2911,49151
2020-01-13,AdWords,adwords_rem,3,1734,232,1479
2020-01-13,HeurekaCz,heureka,3,10790,316,11107
2020-01-13,RtbHouse,rtbhouse,17,18917,804,18349
2020-01-13,Silverpop,emailing,111,63767,2822,62849
