,createdAt,platformCode,channelCode,revenue
0,2020-01-02,AdWords,adwords_bra,5581
1,2020-01-02,AdWords,adwords_pla,60605
2,2020-01-02,AdWords,adwords_rem,2681
3,2020-01-02,HeurekaCz,heureka,15131
4,2020-01-02,RtbHouse,rtbhouse,1082
5,2020-01-02,Silverpop,emailing,53613
6,2020-01-02,Sklik,sklik_bra,11119
7,2020-01-02,Sklik,sklik_sea,6067
8,2020-01-02,ZboziCz,zbozi,845
9,2020-01-02,notset,direct,25288
10,2020-01-02,notset,facebook,1082
11,2020-01-02,notset,notset,3488
12,2020-01-02,notset,organic,28574
13,2020-01-02,notset,referral,816
14,2020-01-03,AdWords,adwords_bra,35045
15,2020-01-03,AdWords,adwords_pla,43503
16,2020-01-03,AdWords,adwords_rem,546
17,2020-01-03,RtbHouse,rtbhouse,2815
18,2020-01-03,Silverpop,emailing,105088
19,2020-01-03,Sklik,sklik_bra,21609
20,2020-01-03,Sklik,sklik_sea,1173
21,2020-01-03,notset,direct,20672
22,2020-01-03,notset,internal,716
23,2020-01-03,notset,organic,13874
24,2020-01-03,notset,referral,3690
25,2020-01-04,AdWords,adwords_bra,5925
26,2020-01-04,AdWords,adwords_pla,27698
27,2020-01-04,AdWords,adwords_rem,2407
28,2020-01-04,RtbHouse,rtbhouse,26502
29,2020-01-04,Silverpop,emailing,88298
30,2020-01-04,Sklik,sklik_bra,4752
31,2020-01-04,Sklik,sklik_pla,1604
32,2020-01-04,ZboziCz,zbozi,1873
33,2020-01-04,notset,direct,1809
34,2020-01-04,notset,internal,1367
35,2020-01-04,notset,organic,11267
36,2020-01-04,notset,referral,992
37,2020-01-05,AdWords,adwords_bra,29600
38,2020-01-05,AdWords,adwords_pla,34205
39,2020-01-05,AdWords,adwords_rem,904
40,2020-01-05,RtbHouse,rtbhouse,14933
41,2020-01-05,Silverpop,emailing,53834
42,2020-01-05,Sklik,sklik_bra,39356
43,2020-01-05,Sklik,sklik_pla,1452
44,2020-01-05,Sklik,sklik_rem,1327
45,2020-01-05,ZboziCz,zbozi,2022
46,2020-01-05,notset,direct,9244
47,2020-01-05,notset,internal,3916
48,2020-01-05,notset,organic,11323
49,2020-01-05,notset,referral,4076
50,2020-01-06,AdWords,adwords_bra,88664
51,2020-01-06,AdWords,adwords_pla,58056
