,TV,Radio,Social Media,Influencer,Sales,ROI
0,16.0,6.566230788,2.907982773,Mega,54.73275715,0.46542902070848813
1,13.0,9.237764567,2.409567204,Mega,46.67789698,0.5280300391759423
2,41.0,15.88644602,2.913410175,Mega,150.1778288,0.39819363931968105
3,83.0,30.02002826,6.922303959,Mega,298.2463398,0.40215860586732344
4,15.0,8.437407682,1.40599815,Micro,56.5941808,0.43897456383006783
5,29.0,9.614382036,1.02716349,Mega,105.8891476,0.374368350529625
6,55.0,24.89381148,4.273602146,Micro,198.6798248,0.4236334198035793
7,31.0,17.35504181,2.289854925,Nano,108.7339319,0.4657690184658907
8,76.0,24.64889821,7.130115956,Macro,270.1894,0.39890171178440015
9,13.0,0.431127823,2.229423022,Mega,48.28058223,0.3243654098949337
10,62.0,24.34518879,5.151483172,Nano,224.9610192,0.4067223392184916
11,42.0,15.8073374,3.194924641,Mega,145.5439916,0.41913280905922334
12,64.0,20.24042393,3.921147972,Micro,229.6323807,0.38392482642584036
13,,22.35166709,3.031815334,Mega,276.1653513,0.09191407359580667
14,34.0,0.226326491,2.372705624,Nano,121.3364193,0.30163270291098826
15,36.0,3.90019598,0.060401795,Nano,123.5261126,0.3234991932790735
16,60.0,22.35372075,0.940801841,Mega,212.7643968,0.39148712775144157
17,25.0,9.905842649,1.853224897,Micro,89.8199226,0.409252941685345
18,100.0,36.11609149,3.67429598,Macro,353.8046387,0.3951061466679408
19,92.0,40.73698967,4.636563904,Nano,329.3505396,0.417104382888948
20,46.0,12.69509229,3.88458384,Macro,162.1913335,0.38583859432908596
21,78.0,35.56822382,2.832450089,Macro,276.4013399,0.4211291955064796
22,37.0,2.828972458,4.556701242,Micro,128.4846619,0.34545503754016577
23,99.0,37.26381865,6.88653481,Nano,349.8615752,0.409162833552577
24,75.0,20.34898797,1.227180495,Micro,272.2501078,0.3547332606969862
25,54.0,27.807614,4.060781965,Nano,192.4619083,0.4461578746852735
26,,34.11167359,4.624148295,Nano,342.9133724,0.1129609545813093
27,27.0,7.280088955,2.179478014,Micro,96.74937343,0.3768455099647666
28,21.0,9.282685174,3.055758381,Mega,76.99292807,0.43300656814466826
29,40.0,13.05041081,1.971184795,Nano,139.2887894,0.39501811913227813
30,67.0,24.13761593,5.573093351,Mega,234.8510253,0.41179598495455233
31,90.0,29.02101661,6.431995293,Micro,323.0321827,0.3883607226203471
32,12.0,3.567660711,3.558311365,Nano,40.79219533,0.4688635147305763
33,81.0,27.33577511,5.263650376,Micro,290.7775735,0.39067464563597093
34,43.0,16.34871104,2.814013458,Mega,150.6264947,0.4126944905795514
35,47.0,17.37652562,1.905040273,Mega,161.7851523,0.4096888061154917
36,43.0,18.23019243,4.079293023,Nano,155.5991953,0.4197289409310975
37,75.0,23.62623841,6.199769157,Mega,263.0206872,0.3985466264381352
38,79.0,23.51057067,2.188926056,Macro,281.5789422,0.371829995197702
39,65.0,24.56354623,3.41966808,Macro,231.6700477,0.40136053509346253
40,43.0,12.84212842,2.593697318,Macro,148.7069665,0.39295957084835026
41,82.0,27.64758545,5.611221835,Macro,294.9524151,0.3907708544984211
